symbol,total_market_cap_cr,price_band,last_updated
GIPCL.NS,2467.16,20,2026-08-06
GPPL.NS,7191.52,20,2026-08-06
GAEL.NS,6638.34,20,2026-08-06
GLFL.NS,13.83,5,2026-08-06
GUJRAFFIA.NS,,10,2026-08-06
GUJTHEM.NS,3837.07,20,2026-08-06
GNRL.NS,,20,2026-08-06
GUJALKALI.NS,4555.66,20,2026-08-06
GKSL.NS,1004.07,20,2026-08-06
GULFOILLUB.NS,4868.33,20,2026-08-06
GULPOLY.NS,1162.39,20,2026-08-06
GVKPIL.NS,391.64,2,2026-08-06
GVPTECH.NS,110.3,20,2026-08-06
HDIL.NS,80.58,5,2026-08-06
HUDCO.NS,39701.68,20,2026-08-06
HGINFRA.NS,3565.51,20,2026-08-06
HALDER.NS,291.19,20,2026-08-06
HALDYNGL.NS,,5,2026-08-06
HGM.NS,59.25,20,2026-08-06
HARDWYN.NS,758.05,20,2026-08-06
HARIOMPIPE.NS,1194.87,20,2026-08-06
HARSHA.NS,3741.91,20,2026-08-06
HATHWAY.NS,1915.25,20,2026-08-06
HATSUN.NS,19882.51,20,2026-08-06
HAWKINCOOK.NS,4619.17,20,2026-08-06
HBESD.NS,,20,2026-08-06
HBSL.NS,34.0,10,2026-08-06
HBLENGINE.NS,19752.91,20,2026-08-06
HCL-INSYS.NS,380.9,20,2026-08-06
HDFCAMC.NS,109169.11,No Band,2026-08-06
HDFCBANK.NS,1159942.92,No Band,2026-08-06
HDFCLIFE.NS,120129.73,No Band,2026-08-06
HEADSUP.NS,15.17,20,2026-08-06
HEMIPROP.NS,3860.3,20,2026-08-06
HERANBA.NS,701.24,20,2026-08-06
HEXATRADEX.NS,866.79,10,2026-08-06
HEXAGON.NS,,5,2026-08-06
HITECH.NS,1741.28,20,2026-08-06
HILINFRA.NS,316.0,20,2026-08-06
HILTON.NS,110.19,5,2026-08-06
HCC.NS,5778.55,20,2026-08-06
HINDALCO.NS,210884.52,No Band,2026-08-06
HINDCON.NS,106.27,10,2026-08-06
HPIL.NS,139.05,20,2026-08-06
HINDCOPPER.NS,47311.65,20,2026-08-06
HINDZINC.NS,226223.59,No Band,2026-08-06
HINDWAREAP.NS,1786.27,20,2026-08-06
POWERINDIA.NS,142876.71,No Band,2026-08-06
HLVLTD.NS,473.35,20,2026-08-06
HMAAGRO.NS,1079.16,20,2026-08-06
HMT.NS,7234.18,5,2026-08-06
HONDAPOWER.NS,2148.61,20,2026-08-06
HPAL.NS,307.69,20,2026-08-06
HPL.NS,2202.93,20,2026-08-06
HUBTOWN.NS,2867.02,20,2026-08-06
HYBRIDFIN.NS,55.16,5,2026-08-06
IGPL.NS,1350.05,20,2026-08-06
