symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
IKS.NS,1699.5999755859375,1678.3583272298176,1663.3222215440537,1633.3459985351562,1587.5033349609375,1580.1624987792968,1688.6471786353504,1262.0,1777.0,True,True,True,True,True,True,True,True,False,5.867693393505213,noise,29.782407447203845,False,False,False,False,,IT - Services,IT Enabled Services,69.19934640522875,False,False
IOLCP.NS,142.3300018310547,131.33666928609213,124.56000010172527,115.79479995727539,90.43853790283202,92.99106464385986,132.9308802414762,67.07081715721031,143.88999938964844,True,False,True,True,True,True,True,True,False,56.07419253230685,ppv,246.6101520220347,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.27941176470588,True,False
IONEXCHANG.NS,412.0,376.40416717529297,377.57916683620874,385.62499938964845,369.36366577148436,377.3277490234375,387.3107850680243,312.70001220703125,578.6959466758634,True,False,False,True,True,True,False,True,False,-21.17018610503264,ppv,446.87705805949304,False,False,False,False,,Other Utilities,Water Supply & Management,36.3562091503268,False,False
IPCALAB.NS,1647.199951171875,1591.633321126302,1586.6722174750435,1570.4119995117187,1505.3719995117187,1461.2205017089843,1607.065737201494,1251.5999755859375,1678.300048828125,True,True,True,True,True,True,True,True,False,23.095952333081684,green,126.71324127219576,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,81.29084967320262,True,True
IRB.NS,21.6299991607666,21.242499987284344,21.171542167663574,21.330600395202637,21.044508412679036,21.14259675979614,21.344481421610503,19.10571148884249,25.03941295992353,True,False,False,True,True,False,True,True,True,-10.804520042409804,noise,80.10752820176081,False,False,False,False,,Construction,Civil Construction,49.754901960784316,False,False
IRBINVIT.NS,60.97999954223633,60.66916688283285,60.266467306349014,60.14167488098145,59.22511983235677,58.9331099319458,60.82037569302359,53.99625458415704,61.86000061035156,True,True,True,True,True,False,True,True,False,9.687797990252701,noise,61.19655610043744,False,False,False,False,,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",72.54901960784314,True,False
IRCON.NS,131.22000122070312,136.331667582194,139.16972181532117,143.46580017089843,147.84700907389322,153.64665107727052,135.6203289536572,114.5,204.96792257993908,False,False,False,False,False,False,False,False,False,-33.77804041806009,noise,60.30195599022916,False,False,False,False,,Construction,Civil Construction,19.812091503267972,False,False
IRISDOREME.NS,39.439998626708984,38.85833326975504,37.059166802300346,36.729000091552734,34.33719992319743,33.887449979782104,39.18428880200332,26.350000381469727,66.52999877929688,True,True,True,True,True,True,False,True,False,-35.849058359842736,noise,61.938050034163474,False,True,False,False,,Textiles & Apparels,Garments & Apparels,17.72875816993464,False,False
IRIS.NS,267.0,251.06249872843424,247.1761114332411,245.13320037841797,264.55466603597006,280.22249870300294,259.0788148533033,203.0,426.95001220703125,False,False,False,False,True,True,False,True,False,8.184763654158434,noise,74.06728516138931,False,False,False,False,,IT - Software,Software Products,71.48692810457517,True,False
IRMENERGY.NS,262.79998779296875,268.52500025431317,273.13472154405383,282.88159942626953,258.94133331298826,275.48169136047363,268.64836784748104,165.39999389648438,393.0,False,False,False,True,False,True,False,False,False,-12.350724533538504,dry,1.2078866745312296,False,False,False,False,,Gas,LPG/CNG/PNG/LNG Supplier,48.12091503267974,False,False
ISGEC.NS,923.7000122070312,923.3250071207682,977.977781507704,1004.0130017089843,903.3006665039062,905.1949987792968,927.8334351765509,683.9500122070312,1242.7974637560883,True,False,False,True,False,True,False,False,False,-22.226040540571102,noise,38.734743521384935,False,False,False,False,,Construction,Civil Construction,34.885620915032675,False,False
ISHANCH.NS,57.84000015258789,58.55500030517578,60.93166711595323,61.33080032348633,60.97933339436849,62.63500005722046,58.216676861606665,44.52000045776367,83.37000274658203,False,False,False,False,False,False,False,False,False,7.850082044797202,noise,41.116200420112406,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,71.20098039215686,True,False
ISHAN.NS,0.6000000238418579,0.6166666746139526,0.6319444477558136,0.6449999976158142,0.6933333325386047,0.7407499986886978,0.615716244606168,0.5,1.0499999523162842,False,False,False,False,False,False,False,False,False,-39.99999761581421,noise,585.5855855855856,False,False,False,False,,Industrial Manufacturing,Industrial Products,13.316993464052288,False,False
ITALIANE.NS,36.0,33.958333333333336,35.41527769300673,36.41199989318848,34.173999837239585,34.166058473587036,34.06921817274387,24.049999237060547,49.0,True,True,False,True,False,True,False,True,False,-1.3466025507003931,green,103.09278350515463,False,False,False,False,,Food Products,Packaged Foods,62.173202614379086,False,False
ITC.NS,290.70001220703125,289.4791666666667,290.5969009399414,293.3782849121094,316.8430908203125,334.9368420410156,289.6726461018929,275.04998779296875,407.1428648264985,False,False,False,False,False,False,False,True,False,-26.420181646560103,noise,60.58586730474473,False,True,False,False,,Diversified FMCG,Diversified FMCG,29.452614379084967,False,False
ITCHOTELS.NS,174.7100067138672,165.9900016784668,158.18282572428384,158.9919320678711,172.6597388712565,184.8411730957031,169.69992661933645,136.40565982941717,259.9158537483289,False,False,False,False,True,False,False,True,False,-19.024034733299644,noise,56.85708196443451,False,False,False,False,,Leisure Services,Hotels & Resorts,39.37908496732026,False,False
ITI.NS,296.1000061035156,303.97916920979816,297.2458326551649,298.1256005859375,291.58333353678387,299.1115003967285,303.61195488888325,237.0,372.8500061035156,False,False,False,False,False,False,True,False,False,-7.425355493760288,noise,22.628708380680784,False,False,False,False,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,54.69771241830066,False,False
IVALUE.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,red,166.83362000826142,False,False,False,False,,IT - Services,IT Enabled Services,,False,False
IVP.NS,161.5500030517578,158.91583379109701,164.6550004747179,158.95640045166016,147.63200047810872,151.98165012359618,159.8581514379437,110.0,205.90023936100712,True,False,False,True,True,True,True,True,False,-8.235373755676811,noise,96.973423288688,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,53.51307189542484,False,False
IZMO.NS,971.0999755859375,1019.7874959309896,846.14722527398,809.9930017089844,781.8199983723958,824.5352487182618,1004.5912042096535,348.04998779296875,1374.699951171875,True,False,True,False,True,True,False,False,False,166.0912297860249,noise,82.36251935636531,False,False,False,False,,IT - Services,IT Enabled Services,98.52941176470588,True,False
